new_num,new_dir,new_street,new_street_type,old_num,old_dir,old_street,old_street_type,duplicate
1217,w,Carmen,Avenue,1107,w,Carmen,Avenue,
1221,w,Carmen,Avenue,1103,w,Carmen,Avenue,
1225,w,Carmen,Avenue,1097,w,Carmen,Avenue,
1229,w,Carmen,Avenue,1095,w,Carmen,Avenue,
1233,w,Carmen,Avenue,1091,w,Carmen,Avenue,
1237,w,Carmen,Avenue,1080,w,Carmen,Avenue,
1241,w,Carmen,Avenue,1083,w,Carmen,Avenue,
1245,w,Carmen,Avenue,1079,w,Carmen,Avenue,
1249,w,Carmen,Avenue,1075,w,Carmen,Avenue,
1253,w,Carmen,Avenue,1071,w,Carmen,Avenue,
1257,w,Carmen,Avenue,1067,w,Carmen,Avenue,
1261,w,Carmen,Avenue,1063,w,Carmen,Avenue,
1263,w,Carmen,Avenue,1061,w,Carmen,Avenue,
1212,w,Carmen,Avenue,1112,w,Carmen,Avenue,
1216,w,Carmen,Avenue,1110,w,Carmen,Avenue,
1218,w,Carmen,Avenue,1108,w,Carmen,Avenue,
1220,w,Carmen,Avenue,1106,w,Carmen,Avenue,
1222,w,Carmen,Avenue,1104,w,Carmen,Avenue,
1226,w,Carmen,Avenue,1098,w,Carmen,Avenue,
1230,w,Carmen,Avenue,1094,w,Carmen,Avenue,
1234,w,Carmen,Avenue,1090,w,Carmen,Avenue,
1236,w,Carmen,Avenue,1088,w,Carmen,Avenue,
1244,w,Carmen,Avenue,1080,w,Carmen,Avenue,
1248,w,Carmen,Avenue,1076,w,Carmen,Avenue,
1252,w,Carmen,Avenue,1072,w,Carmen,Avenue,
1256,w,Carmen,Avenue,1068,w,Carmen,Avenue,
1301,w,Carmen,Avenue,1059,w,Carmen,Avenue,
1305,w,Carmen,Avenue,1055,w,Carmen,Avenue,
1309,w,Carmen,Avenue,1051,w,Carmen,Avenue,
1313,w,Carmen,Avenue,1047,w,Carmen,Avenue,
1317,w,Carmen,Avenue,1043,w,Carmen,Avenue,
1321,w,Carmen,Avenue,1039,w,Carmen,Avenue,
1325,w,Carmen,Avenue,1035,w,Carmen,Avenue,
1333,w,Carmen,Avenue,1027,w,Carmen,Avenue,
1339,w,Carmen,Avenue,1023,w,Carmen,Avenue,
1353,w,Carmen,Avenue,1003,w,Carmen,Avenue,
1359,w,Carmen,Avenue,n/a,w,Carmen,Avenue,
1425,w,Carmen,Avenue,965,w,Carmen,Avenue,
1431,w,Carmen,Avenue,957,w,Carmen,Avenue,
1441,w,Carmen,Avenue,947,w,Carmen,Avenue,
1445,w,Carmen,Avenue,943,w,Carmen,Avenue,
1451,w,Carmen,Avenue,937,w,Carmen,Avenue,
1455,w,Carmen,Avenue,933,w,Carmen,Avenue,
1459,w,Carmen,Avenue,929,w,Carmen,Avenue,
1461,w,Carmen,Avenue,927,w,Carmen,Avenue,
1465,w,Carmen,Avenue,923,w,Carmen,Avenue,
1615,w,Carmen,Avenue,743,w,Carmen,Avenue,
1619,w,Carmen,Avenue,737,w,Carmen,Avenue,
1623,w,Carmen,Avenue,735,w,Carmen,Avenue,
1625,w,Carmen,Avenue,733,w,Carmen,Avenue,
1627,w,Carmen,Avenue,731,w,Carmen,Avenue,
1637,w,Carmen,Avenue,721,w,Carmen,Avenue,*two old num
1639,w,Carmen,Avenue,721,w,Carmen,Avenue,*two old num
1641,w,Carmen,Avenue,717,w,Carmen,Avenue,
1643,w,Carmen,Avenue,715,w,Carmen,Avenue,
1647,w,Carmen,Avenue,711,w,Carmen,Avenue,
1653,w,Carmen,Avenue,707,w,Carmen,Avenue,
1655,w,Carmen,Avenue,705,w,Carmen,Avenue,
1657,w,Carmen,Avenue,701,w,Carmen,Avenue,
1661,w,Carmen,Avenue,663,w,Carmen,Avenue,
1725,w,Carmen,Avenue,633,w,Carmen,Avenue,
1727,w,Carmen,Avenue,631,w,Carmen,Avenue,
1729,w,Carmen,Avenue,629,w,Carmen,Avenue,
1731,w,Carmen,Avenue,625,w,Carmen,Avenue,
1735,w,Carmen,Avenue,623,w,Carmen,Avenue,
1737,w,Carmen,Avenue,621,w,Carmen,Avenue,
1741,w,Carmen,Avenue,617,w,Carmen,Avenue,
1743,w,Carmen,Avenue,615,w,Carmen,Avenue,
1747,w,Carmen,Avenue,611,w,Carmen,Avenue,
1749,w,Carmen,Avenue,607,w,Carmen,Avenue,
1751,w,Carmen,Avenue,605,w,Carmen,Avenue,
1755,w,Carmen,Avenue,601,w,Carmen,Avenue,
2415,w,Carmen,Avenue,16w,w,Carmen,Avenue,
2419,w,Carmen,Avenue,18w,w,Carmen,Avenue,
2421,w,Carmen,Avenue,20w,w,Carmen,Avenue,
2423,w,Carmen,Avenue,24w,w,Carmen,Avenue,
2425,w,Carmen,Avenue,26w,w,Carmen,Avenue,
2429,w,Carmen,Avenue,30w,w,Carmen,Avenue,
2431,w,Carmen,Avenue,32w,w,Carmen,Avenue,
2433,w,Carmen,Avenue,34w,w,Carmen,Avenue,
2435,w,Carmen,Avenue,36w,w,Carmen,Avenue,
2439,w,Carmen,Avenue,40w,w,Carmen,Avenue,
2513,w,Carmen,Avenue,94w,w,Carmen,Avenue,
2517,w,Carmen,Avenue,98w,w,Carmen,Avenue,
2523,w,Carmen,Avenue,104w,w,Carmen,Avenue,
2541,w,Carmen,Avenue,118w,w,Carmen,Avenue,
4853,w,Carmen,Avenue,1644w,w,Carmen,Avenue,
5113,w,Carmen,Avenue,1794w,w,Carmen,Avenue,
5119,w,Carmen,Avenue,1800w,w,Carmen,Avenue,
5127,w,Carmen,Avenue,1810w,w,Carmen,Avenue,
5129,w,Carmen,Avenue,1812w,w,Carmen,Avenue,
5145,w,Carmen,Avenue,1828w,w,Carmen,Avenue,
5203,w,Carmen,Avenue,1850w,w,Carmen,Avenue,
5223,w,Carmen,Avenue,1870w,w,Carmen,Avenue,
5229,w,Carmen,Avenue,1876w,w,Carmen,Avenue,
5233,w,Carmen,Avenue,1882w,w,Carmen,Avenue,
5241,w,Carmen,Avenue,1890w,w,Carmen,Avenue,
5249,w,Carmen,Avenue,1898w,w,Carmen,Avenue,
5257,w,Carmen,Avenue,1904w,w,Carmen,Avenue,
5333,w,Carmen,Avenue,1948w,w,Carmen,Avenue,
5337,w,Carmen,Avenue,1950w,w,Carmen,Avenue,
5417,w,Carmen,Avenue,2002w,w,Carmen,Avenue,
5423,w,Carmen,Avenue,2008w,w,Carmen,Avenue,
5425,w,Carmen,Avenue,2010w,w,Carmen,Avenue,
1260,w,Carmen,Avenue,1064,w,Carmen,Avenue,*two old num
1262,w,Carmen,Avenue,1064,w,Carmen,Avenue,*two old num
1304,w,Carmen,Avenue,1056,w,Carmen,Avenue,
1310,w,Carmen,Avenue,1052,w,Carmen,Avenue,
1314,w,Carmen,Avenue,1048,w,Carmen,Avenue,
1316,w,Carmen,Avenue,1042,w,Carmen,Avenue,
1320,w,Carmen,Avenue,1040,w,Carmen,Avenue,
1324,w,Carmen,Avenue,1036,w,Carmen,Avenue,
1328,w,Carmen,Avenue,1032,w,Carmen,Avenue,
1332,w,Carmen,Avenue,1028,w,Carmen,Avenue,
1338,w,Carmen,Avenue,1024,w,Carmen,Avenue,
1342,w,Carmen,Avenue,1020,w,Carmen,Avenue,
1344,w,Carmen,Avenue,1014,w,Carmen,Avenue,
1348,w,Carmen,Avenue,1012,w,Carmen,Avenue,
1352,w,Carmen,Avenue,1008,w,Carmen,Avenue,
1358,w,Carmen,Avenue,1004,w,Carmen,Avenue,
1410,w,Carmen,Avenue,976,w,Carmen,Avenue,
1414,w,Carmen,Avenue,974,w,Carmen,Avenue,
1420,w,Carmen,Avenue,968,w,Carmen,Avenue,
1422,w,Carmen,Avenue,966,w,Carmen,Avenue,
1424,w,Carmen,Avenue,964,w,Carmen,Avenue,
1426,w,Carmen,Avenue,962,w,Carmen,Avenue,
1430,w,Carmen,Avenue,958,w,Carmen,Avenue,
1432,w,Carmen,Avenue,956,w,Carmen,Avenue,
1442,w,Carmen,Avenue,948,w,Carmen,Avenue,
1444,w,Carmen,Avenue,944,w,Carmen,Avenue,
1448,w,Carmen,Avenue,942,w,Carmen,Avenue,
1452,w,Carmen,Avenue,938,w,Carmen,Avenue,
1470,w,Carmen,Avenue,918,w,Carmen,Avenue,
1472,w,Carmen,Avenue,916,w,Carmen,Avenue,
1614,w,Carmen,Avenue,744,w,Carmen,Avenue,
1616,w,Carmen,Avenue,742,w,Carmen,Avenue,
1618,w,Carmen,Avenue,738,w,Carmen,Avenue,
1622,w,Carmen,Avenue,736,w,Carmen,Avenue,
1626,w,Carmen,Avenue,732,w,Carmen,Avenue,
1630,w,Carmen,Avenue,728,w,Carmen,Avenue,
1632,w,Carmen,Avenue,726,w,Carmen,Avenue,
1634,w,Carmen,Avenue,724,w,Carmen,Avenue,
1636,w,Carmen,Avenue,722,w,Carmen,Avenue,
1640,w,Carmen,Avenue,718,w,Carmen,Avenue,
1664,w,Carmen,Avenue,660,w,Carmen,Avenue,
1706,w,Carmen,Avenue,652,w,Carmen,Avenue,
1708,w,Carmen,Avenue,648,w,Carmen,Avenue,
1712,w,Carmen,Avenue,646,w,Carmen,Avenue,
1712,w,Carmen,Avenue,640,w,Carmen,Avenue,
1718,w,Carmen,Avenue,638,w,Carmen,Avenue,
1732,w,Carmen,Avenue,626,w,Carmen,Avenue,
1736,w,Carmen,Avenue,622,w,Carmen,Avenue,
1742,w,Carmen,Avenue,616,w,Carmen,Avenue,
1744,w,Carmen,Avenue,610,w,Carmen,Avenue,
1748,w,Carmen,Avenue,606,w,Carmen,Avenue,
1752,w,Carmen,Avenue,602,w,Carmen,Avenue,
2414,w,Carmen,Avenue,15w,w,Carmen,Avenue,
2420,w,Carmen,Avenue,21w,w,Carmen,Avenue,
2424,w,Carmen,Avenue,23w,w,Carmen,Avenue,
2426,w,Carmen,Avenue,27w,w,Carmen,Avenue,
2428,w,Carmen,Avenue,31w,w,Carmen,Avenue,
2432,w,Carmen,Avenue,33w,w,Carmen,Avenue,
2442,w,Carmen,Avenue,41w,w,Carmen,Avenue,
2444,w,Carmen,Avenue,45w,w,Carmen,Avenue,
2446,w,Carmen,Avenue,47w,w,Carmen,Avenue,
2448,w,Carmen,Avenue,51w,w,Carmen,Avenue,
2454,w,Carmen,Avenue,55w,w,Carmen,Avenue,
2458,w,Carmen,Avenue,57w,w,Carmen,Avenue,
2518,w,Carmen,Avenue,99w,w,Carmen,Avenue,
2550,w,Carmen,Avenue,133w,w,Carmen,Avenue,
2600,w,Carmen,Avenue,135w,w,Carmen,Avenue,
2608,w,Carmen,Avenue,143w,w,Carmen,Avenue,
2700,w,Carmen,Avenue,190w,w,Carmen,Avenue,
5106,w,Carmen,Avenue,1789w,w,Carmen,Avenue,
5142,w,Carmen,Avenue,1825w,w,Carmen,Avenue,
5148,w,Carmen,Avenue,1831w,w,Carmen,Avenue,
5150,w,Carmen,Avenue,1833w,w,Carmen,Avenue,
5228,w,Carmen,Avenue,1877w,w,Carmen,Avenue,
5236,w,Carmen,Avenue,1885w,w,Carmen,Avenue,
5240,w,Carmen,Avenue,1889w,w,Carmen,Avenue,
5256,w,Carmen,Avenue,1905w,w,Carmen,Avenue,
5332,w,Carmen,Avenue,1949w,w,Carmen,Avenue,
5348,w,Carmen,Avenue,1965w,w,Carmen,Avenue,
5416,w,Carmen,Avenue,2001w,w,Carmen,Avenue,
1217,w,Winnemac,Avenue,1107,w,Winnemac,Avenue,
1219,w,Winnemac,Avenue,1105,w,Winnemac,Avenue,
1225,w,Winnemac,Avenue,1101,w,Winnemac,Avenue,
1235,w,Winnemac,Avenue,1089,w,Winnemac,Avenue,
1239,w,Winnemac,Avenue,1087,w,Winnemac,Avenue,
1243,w,Winnemac,Avenue,1085,w,Winnemac,Avenue,
1247,w,Winnemac,Avenue,1079,w,Winnemac,Avenue,
1249,w,Winnemac,Avenue,1077,w,Winnemac,Avenue,
1251,w,Winnemac,Avenue,1073,w,Winnemac,Avenue,
1255,w,Winnemac,Avenue,1069,w,Winnemac,Avenue,
1257,w,Winnemac,Avenue,1067,w,Winnemac,Avenue,
1329,w,Winnemac,Avenue,1031,w,Winnemac,Avenue,
1333,w,Winnemac,Avenue,1015,w,Winnemac,Avenue,
1345,w,Winnemac,Avenue,1027,w,Winnemac,Avenue,
1355,w,Winnemac,Avenue,1005,w,Winnemac,Avenue,
1421,w,Winnemac,Avenue,979,w,Winnemac,Avenue,
1433,w,Winnemac,Avenue,945,w,Winnemac,Avenue,
1435,w,Winnemac,Avenue,947,w,Winnemac,Avenue,
1437,w,Winnemac,Avenue,949,w,Winnemac,Avenue,
1441,w,Winnemac,Avenue,953,w,Winnemac,Avenue,
1513,w,Winnemac,Avenue,819,w,Winnemac,Avenue,
1515,w,Winnemac,Avenue,821,w,Winnemac,Avenue,
1719,w,Winnemac,Avenue,699,w,Winnemac,Avenue,
1757,w,Winnemac,Avenue,621,w,Winnemac,Avenue,
1763,w,Winnemac,Avenue,615,w,Winnemac,Avenue,
1765,w,Winnemac,Avenue,613,w,Winnemac,Avenue,
1767,w,Winnemac,Avenue,611,w,Winnemac,Avenue,
1771,w,Winnemac,Avenue,609,w,Winnemac,Avenue,
1773,w,Winnemac,Avenue,605,w,Winnemac,Avenue,
1775,w,Winnemac,Avenue,601,w,Winnemac,Avenue,
2239,w,Winnemac,Avenue,na,w,na,Avenue,No address listed
2219,w,Winnemac,Avenue,ofOkly,w,Winnemac,Avenue,"listed as 2219e for new address, ofOkly for old"
2257,w,Winnemac,Avenue,701,w,Winnemac,Avenue,
2303,w,Winnemac,Avenue,55,w,Winnemac,Avenue,
2307,w,Winnemac,Avenue,51,w,Winnemac,Avenue,
2309,w,Winnemac,Avenue,49,w,Winnemac,Avenue,
2319,w,Winnemac,Avenue,41,w,Winnemac,Avenue,
2325,w,Winnemac,Avenue,35,w,Winnemac,Avenue,
2333,w,Winnemac,Avenue,27,w,Winnemac,Avenue,
2335,w,Winnemac,Avenue,23,w,Winnemac,Avenue,
2337,w,Winnemac,Avenue,21,w,Winnemac,Avenue,
2339,w,Winnemac,Avenue,19,w,Winnemac,Avenue,
2343,w,Winnemac,Avenue,17,w,Winnemac,Avenue,
2345,w,Winnemac,Avenue,15,w,Winnemac,Avenue,
2401,w,Winnemac,Avenue,3031,w,Winnemac,Avenue,
2403,w,Winnemac,Avenue,6w,w,Winnemac,Avenue,All new addresses higher than this are west of Western
2407,w,Winnemac,Avenue,8w,w,Winnemac,Avenue,
2409,w,Winnemac,Avenue,12w,w,Winnemac,Avenue,
2411,w,Winnemac,Avenue,14w,w,Winnemac,Avenue,
2415,w,Winnemac,Avenue,16w,w,Winnemac,Avenue,
2417,w,Winnemac,Avenue,18,w,Winnemac,Avenue,
2419,w,Winnemac,Avenue,20,w,Winnemac,Avenue,
2423,w,Winnemac,Avenue,24,w,Winnemac,Avenue,
2429,w,Winnemac,Avenue,30-32,w,Winnemac,Avenue,
2433,w,Winnemac,Avenue,34,w,Winnemac,Avenue,
2533,w,Winnemac,Avenue,96,w,Winnemac,Avenue,
5325,w,Winnemac,Avenue,11944,w,Winnemac,Avenue,This is a far West number; check if other things were in between 2533 and 5325 Winnemac
2434,w,Winnemac,Avenue,37w,w,Winnemac,Avenue,
2440,w,Winnemac,Avenue,41w,w,Winnemac,Avenue,
2522,w,Winnemac,Avenue,83w,w,Winnemac,Avenue,
4952,w,Winnemac,Avenue,1705w,w,Winnemac,Avenue,
5130,w,Winnemac,Avenue,1813w,w,Winnemac,Avenue,
5138,w,Winnemac,Avenue,1821w,w,Winnemac,Avenue,
5142,w,Winnemac,Avenue,1825w,w,Winnemac,Avenue,
5148,w,Winnemac,Avenue,1829w,w,Winnemac,Avenue,
5200,w,Winnemac,Avenue,1849w,w,Winnemac,Avenue,
5218,w,Winnemac,Avenue,1867w,w,Winnemac,Avenue,
5222,w,Winnemac,Avenue,1871w,w,Winnemac,Avenue,
5232,w,Winnemac,Avenue,1881w,w,Winnemac,Avenue,
5238,w,Winnemac,Avenue,1887w,w,Winnemac,Avenue,
5240,w,Winnemac,Avenue,1889w,w,Winnemac,Avenue,
5252,w,Winnemac,Avenue,1901w,w,Winnemac,Avenue,
5256,w,Winnemac,Avenue,1907w,w,Winnemac,Avenue,
5304,w,Winnemac,Avenue,1911w,w,Winnemac,Avenue,
5330,w,Winnemac,Avenue,1945w,w,Winnemac,Avenue,
5332,w,Winnemac,Avenue,1949w,w,Winnemac,Avenue,
5336,w,Winnemac,Avenue,1953w,w,Winnemac,Avenue,
1226,w,Winnemac,Avenue,1102,w,Winnemac,Avenue,
1234,w,Winnemac,Avenue,1090,w,Winnemac,Avenue,
1238,w,Winnemac,Avenue,1086,w,Winnemac,Avenue,
1246,w,Winnemac,Avenue,1080,w,Winnemac,Avenue,
1250,w,Winnemac,Avenue,1074,w,Winnemac,Avenue,
1254,w,Winnemac,Avenue,1072,w,Winnemac,Avenue,
1258,w,Winnemac,Avenue,1066,w,Winnemac,Avenue,
1300,w,Winnemac,Avenue,1060,w,Winnemac,Avenue,
1304,w,Winnemac,Avenue,1056,w,Winnemac,Avenue,
1306,w,Winnemac,Avenue,1054,w,Winnemac,Avenue,
1310,w,Winnemac,Avenue,1050,w,Winnemac,Avenue,
1340,w,Winnemac,Avenue,1018,w,Winnemac,Avenue,
1342,w,Winnemac,Avenue,1020,w,Winnemac,Avenue,
1424,w,Winnemac,Avenue,962,w,Winnemac,Avenue,
1430,w,Winnemac,Avenue,956,w,Winnemac,Avenue,
1434,w,Winnemac,Avenue,950,w,Winnemac,Avenue,
1448,w,Winnemac,Avenue,938,w,Winnemac,Avenue,
1454,w,Winnemac,Avenue,932,w,Winnemac,Avenue,
1456,w,Winnemac,Avenue,928,w,Winnemac,Avenue,
1462,w,Winnemac,Avenue,924,w,Winnemac,Avenue,
1516,w,Winnemac,Avenue,818,w,Winnemac,Avenue,
1518,w,Winnemac,Avenue,816,w,Winnemac,Avenue,
1608,w,Winnemac,Avenue,748,w,Winnemac,Avenue,
1610,w,Winnemac,Avenue,750,w,Winnemac,Avenue,
1614,w,Winnemac,Avenue,744,w,Winnemac,Avenue,
1618,w,Winnemac,Avenue,740,w,Winnemac,Avenue,
1620,w,Winnemac,Avenue,"""",w,Winnemac,Avenue,Might mean the old address didn't exist or it was the same as old address 740/new address 1618
1622,w,Winnemac,Avenue,738,w,Winnemac,Avenue,
1626,w,Winnemac,Avenue,732,w,Winnemac,Avenue,
1628,w,Winnemac,Avenue,730,w,Winnemac,Avenue,
1632,w,Winnemac,Avenue,728,w,Winnemac,Avenue,
1634,w,Winnemac,Avenue,726,w,Winnemac,Avenue,
1636,w,Winnemac,Avenue,720,w,Winnemac,Avenue,
1638,w,Winnemac,Avenue,718,w,Winnemac,Avenue,
1640,w,Winnemac,Avenue,716,w,Winnemac,Avenue,
1706,w,Winnemac,Avenue,708,w,Winnemac,Avenue,
1708,w,Winnemac,Avenue,706,w,Winnemac,Avenue,
1710,w,Winnemac,Avenue,704,w,Winnemac,Avenue,
1716,w,Winnemac,Avenue,664,w,Winnemac,Avenue,
1740,w,Winnemac,Avenue,642,w,Winnemac,Avenue,
1744,w,Winnemac,Avenue,636,w,Winnemac,Avenue,
1750,w,Winnemac,Avenue,628,w,Winnemac,Avenue,
1754,w,Winnemac,Avenue,626,w,Winnemac,Avenue,
1756,w,Winnemac,Avenue,624,w,Winnemac,Avenue,
1774,w,Winnemac,Avenue,606,w,Winnemac,Avenue,
1776,w,Winnemac,Avenue,602,w,Winnemac,Avenue,
1802,w,Winnemac,Avenue,556,w,Winnemac,Avenue,
1806,w,Winnemac,Avenue,550,w,Winnemac,Avenue,
1810,w,Winnemac,Avenue,544,w,Winnemac,Avenue,
1812,w,Winnemac,Avenue,542,w,Winnemac,Avenue,
1918,w,Winnemac,Avenue,498,w,Winnemac,Avenue,
1922,w,Winnemac,Avenue,492,w,Winnemac,Avenue,
1926,w,Winnemac,Avenue,490,w,Winnemac,Avenue,
1930,w,Winnemac,Avenue,488,w,Winnemac,Avenue,
2000,w,Winnemac,Avenue,na,w,Winnemac,Avenue,
2002,w,Winnemac,Avenue,na,w,Winnemac,Avenue,
2030,w,Winnemac,Avenue,334,w,Winnemac,Avenue,
2046,w,Winnemac,Avenue,316,w,Winnemac,Avenue,
2216,w,Winnemac,Avenue,144,w,Winnemac,Avenue,
2112,w,Winnemac,Avenue,560,w,Winnemac,Avenue,
2238,w,Winnemac,Avenue,122,w,Winnemac,Avenue,
2240,w,Winnemac,Avenue,120,w,Winnemac,Avenue,
2242,w,Winnemac,Avenue,116,w,Winnemac,Avenue,
2246,w,Winnemac,Avenue,114,w,Winnemac,Avenue,
2248,w,Winnemac,Avenue,112,w,Winnemac,Avenue,
2250,w,Winnemac,Avenue,110,w,Winnemac,Avenue,
2252,w,Winnemac,Avenue,108,w,Winnemac,Avenue,
2300,w,Winnemac,Avenue,60,w,Winnemac,Avenue,
2306,w,Winnemac,Avenue,54,w,Winnemac,Avenue,
2308,w,Winnemac,Avenue,52,w,Winnemac,Avenue,
2310,w,Winnemac,Avenue,48,w,Winnemac,Avenue,
2314,w,Winnemac,Avenue,44,w,Winnemac,Avenue,
2316,w,Winnemac,Avenue,42,w,Winnemac,Avenue,
2332,w,Winnemac,Avenue,26,w,Winnemac,Avenue,
2338,w,Winnemac,Avenue,20,w,Winnemac,Avenue,
2342,w,Winnemac,Avenue,16,w,Winnemac,Avenue,
2414,w,Winnemac,Avenue,17w,w,Winnemac,Avenue,
2418,w,Winnemac,Avenue,19w,w,Winnemac,Avenue,
2420,w,Winnemac,Avenue,21w,w,Winnemac,Avenue,
2422,w,Winnemac,Avenue,23w,w,Winnemac,Avenue,
2424,w,Winnemac,Avenue,27w,w,Winnemac,Avenue,
2430,w,Winnemac,Avenue,31w,w,Winnemac,Avenue,
2432,w,Winnemac,Avenue,33w,w,Winnemac,Avenue,